year,city,country,avg_temp,5-Year Moving Average
1997,Houston,United States,20.14,20.49
1998,Houston,United States,21.74,20.818
1999,Houston,United States,21.65,21.01
2000,Houston,United States,21.34,21.122
2001,Houston,United States,20.64,21.102
2002,Houston,United States,20.67,21.208
2003,Houston,United States,20.69,20.998
2004,Houston,United States,20.98,20.864
2005,Houston,United States,21.23,20.842
2006,Houston,United States,21.46,21.006
2007,Houston,United States,20.71,21.014
2008,Houston,United States,21.01,21.078
2009,Houston,United States,21.11,21.104
2010,Houston,United States,20.43,20.944
2011,Houston,United States,21.69,20.99
2012,Houston,United States,21.86,21.22
2013,Houston,United States,22.28,21.474
